번호,노래 제목,가수,유튜브 URL
1,Satisfaction (타이틀 뮤직),Vienna Symphonic Orchestra Project,https://www.youtube.com/watch?v=ReFis7xyrO8
2,All Around the World,Lisa Stansfield,https://www.youtube.com/watch?v=JVuuatjHGnY
3,Swingtown,Steve Miller Band,https://www.youtube.com/watch?v=1jGYx0hMjM0
4,Happy Song,Boney M,https://www.youtube.com/watch?v=n5GX5VjeMng
5,The Boys Of Summer,The Ataris,https://www.youtube.com/watch?v=Qt6Lkgs0kiU
6,Ballad For Kay (철수는 오늘 BGM),Acoustic Alchemy,https://www.youtube.com/watch?v=uXKkNRLVupo
7,Time To Say Goodbye,"Sarah Brightman, Andrea Bocelli",https://www.youtube.com/watch?v=PhNYfUXwo1g
8,7 Seconds,"Youssou N'dour, Neneh Cherry",https://www.youtube.com/watch?v=wqCpjFMvz-k
9,The Thrill Is Gone,B.B. King,https://www.youtube.com/watch?v=oica5jG7FpU
10,The Middle,"Zedd, Grey, Maren Morris",https://www.youtube.com/watch?v=M3mJkSqZbX4
11,Rehab,Amy Winehouse,https://www.youtube.com/watch?v=KUmZp8pR1uc
12,Doo Wop (That Thing),Lauryn Hill,https://www.youtube.com/watch?v=T6QKqFPRZSA
13,Amazing Grace,"Judy Collins, The Global Virtual Choir",https://www.youtube.com/watch?v=Oav8CkGpcwA
14,Lose Control,Teddy Swims,https://www.youtube.com/watch?v=GZ3zL7kT6_c
15,Love Yourself,Justin Bieber,https://www.youtube.com/watch?v=oyEuk8j8imI
